character,pinyin,ppm
乖,guai1,8.645
已,yi3,8.57
恕,shu4,8.568
畏,wei4,8.567
证,zheng4,8.464
吓,xia4,8.461
绅,shen1,8.421
渺,miao3,8.371
牙,ya2,8.325
番,fan1,8.048
表,biao3,7.945
赏,shang3,7.891
眼,yan3,7.809
气,qi4,7.689
泗,si4,7.68
兔,tu4,7.613
鸯,yang1,7.587
尖,jian1,7.578
巾,jin1,7.523
酉,you3,7.514
钻,zuan4,7.5
坷,ke3,7.438
湃,pai4,7.114
闲,xian2,7.086
裔,yi4,7.076
潆,ying2,6.98
详,xiang2,6.977
宠,chong3,6.875
娓,wei3,6.851
劝,quan4,6.84
链,lian4,6.811
窈,yao3,6.758
苛,ke1,6.723
嫔,pin2,6.661
萤,ying2,6.575
漂,piao1,6.547
条,tiao2,6.533
菠,bo1,6.533
捍,han4,6.475
漾,yang4,6.362
渔,yu2,6.265
壁,bi4,6.243
锰,meng3,6.17
评,ping2,6.161
取,qu3,6.056
度,du4,5.987
烂,lan4,5.959
坎,kan3,5.892
绩,ji4,5.872
翡,fei3,5.826
掌,zhang3,5.741
须,xu1,5.733
缤,bin1,5.695
只,zhi1,5.67
阶,jie1,5.601
嫱,qiang2,5.57
绎,yi4,5.47
乡,xiang1,5.466
蕤,rui2,5.404
认,ren4,5.374
技,ji4,5.271
湄,mei2,5.27
厦,sha4,5.212
勰,xie2,5.201
巡,xun2,5.153
萁,qi2,5.114
接,jie1,5.087
释,shi4,5.064
鳌,ao2,4.976
钞,chao1,4.972
肯,ken3,4.928
零,ling2,4.89
镒,yi4,4.857
寨,zhai4,4.809
追,zhui1,4.785
胭,yan1,4.712
邈,miao3,4.704
味,wei4,4.644
桧,gui4,4.64
偌,ruo4,4.64
玢,bin1,4.627
舍,she3,4.619
桀,jie2,4.557
幽,you1,4.553
瑚,hu2,4.546
析,xi1,4.541
樵,qiao2,4.52
沥,li4,4.501
场,chang3,4.475
骑,qi2,4.45
秧,yang1,4.445
锭,ding4,4.441
署,shu3,4.39
烊,yang4,4.381
彻,che4,4.364
堤,di1,4.361
货,huo4,4.36
挥,hui1,4.331
荐,jian4,4.324
企,qi3,4.279
镖,biao1,4.235
雀,que4,4.215
受,shou4,4.191
侣,lv3,4.188
洞,dong4,4.184
璜,huang2,4.116
棕,zong1,4.092
涟,lian2,4.085
奖,jiang3,4.073
佚,yi4,4.059
凭,ping2,4.059
琎,jin1,4.022
漠,mo4,4.015
棱,leng2,4.007
琤,cheng1,3.995
涣,huan4,3.946
纶,lun2,3.93
皆,jie1,3.923
塘,tang2,3.915
造,zao4,3.88
反,fan3,3.829
循,xun2,3.799
沧,cang1,3.761
冈,gang1,3.754
郴,chen1,3.742
浈,zhen1,3.714
排,pai2,3.694
玎,ding1,3.691
往,wang3,3.661
潍,wei2,3.645
椰,ye1,3.627
屯,tun2,3.619
璀,cui3,3.599
岛,dao3,3.56
碰,peng4,3.477
泥,ni2,3.454
瓶,ping2,3.425
镛,yong1,3.411
整,zheng3,3.378
蜂,feng1,3.377
敌,di2,3.376
琥,hu3,3.357
觅,mi4,3.317
萦,ying2,3.313
恰,qia4,3.306
纵,zong4,3.288
杯,bei1,3.286
寄,ji4,3.268
垲,kai3,3.253
规,gui1,3.192
径,jing4,3.156
泯,min3,3.141
禅,chan2,3.138
岫,xiu4,3.136
衿,jin1,3.123
孚,fu2,3.099
铝,lv3,3.095
呜,wu1,3.085
累,lei4,3.055
指,zhi3,3.009
激,ji1,2.989
攸,you1,2.97
稷,ji4,2.962
烘,hong1,2.953
沼,zhao3,2.95
旅,lv3,2.94
堪,kan1,2.925
板,ban3,2.922
皋,gao1,2.887
燮,xie4,2.886
薄,bao2,2.881
翥,zhu4,2.872
栅,zha4,2.872
叮,ding1,2.87
潺,chan2,2.852
犁,li2,2.839
涧,jian4,2.828
浒,hu3,2.803
玻,bo1,2.796
坊,fang1,2.791
霭,ai3,2.786
隐,yin3,2.786
濮,pu2,2.765
角,jiao3,2.763
埔,pu3,2.757
拼,pin1,2.754
刊,kan1,2.737
钎,qian1,2.714
皞,hao4,2.703
仍,reng2,2.691
囤,tun2,2.667
猷,you2,2.664
墩,dun1,2.648
折,zhe2,2.621
值,zhi2,2.606
侗,dong4,2.59
降,jiang4,2.588
株,zhu1,2.585
钉,ding4,2.58
洗,xi3,2.567
漳,zhang1,2.548
族,zu2,2.541
悄,qiao1,2.541
似,si4,2.531
凛,lin3,2.523
叠,die2,2.522
泞,ning4,2.51
浴,yu4,2.509
夯,hang1,2.509
页,ye4,2.494
浔,xun2,2.491
绥,sui2,2.482
磐,pan2,2.48
惺,xing1,2.472
遐,xia2,2.466
逾,yu2,2.464
倾,qing1,2.448
础,chu3,2.446
药,yao4,2.424
种,zhong3,2.418
俄,e2,2.403
皙,xi1,2.402
邻,lin2,2.398
秩,zhi4,2.376
砾,li4,2.375
蜓,ting2,2.372
恳,ken3,2.318
洹,huan2,2.282
焙,bei4,2.275
藻,zao3,2.266
骧,xiang1,2.264
挪,nuo2,2.263
雳,li4,2.259
核,he2,2.223
禺,yu2,2.21
锷,e4,2.206
始,shi3,2.202
暾,tun1,2.195
偶,ou3,2.195
烙,lao4,2.191
蕃,fan1,2.172
哨,shao4,2.149
戟,ji3,2.142
镪,qiang3,2.124
赠,zeng4,2.121
骢,cong1,2.103
纺,fang3,2.071
琏,lian3,2.069
咚,dong1,2.049
级,ji2,2.048
馗,kui2,2.035
阜,fu4,2.029
铅,qian1,2.027
性,xing4,2.008
犀,xi1,2.006
辑,ji2,2.006
讷,ne4,1.993
油,you2,1.963
墉,yong1,1.96
刀,dao1,1.946
税,shui4,1.942
店,dian4,1.923
倜,ti4,1.92
圃,pu3,1.92
麓,lu4,1.914
莼,chun2,1.912
慨,kai3,1.909
璁,cong1,1.852
钤,qian2,1.821
墙,qiang2,1.819
烛,zhu2,1.814
醇,chun2,1.809
谅,liang4,1.803
憧,chong1,1.802
捡,jian3,1.79
泫,xuan4,1.776
贰,er4,1.775
销,xiao1,1.771
绰,chao1,1.767
宬,cheng2,1.754
获,huo4,1.746
妆,zhuang1,1.729
甸,dian4,1.727
楣,mei2,1.72
磬,qing4,1.709
岂,qi3,1.708
蒸,zheng1,1.702
锞,ke4,1.701
泮,pan4,1.692
面,mian4,1.683
浣,huan4,1.679
拿,na2,1.659
醉,zui4,1.653
鳞,lin2,1.65
嵌,qian4,1.65
炮,pao4,1.645
亘,gen4,1.632
镘,man4,1.625
檑,lei2,1.624
溟,ming2,1.616
泾,jing1,1.612
呵,he1,1.61
谧,mi4,1.607
汾,fen2,1.596
玚,yang2,1.593
隹,zhui1,1.587
濡,ru2,1.582
钐,shan1,1.58
遨,ao2,1.579
癸,gui3,1.563
籍,ji2,1.557
络,luo4,1.552
溧,li4,1.55
畴,chou2,1.54
诤,zheng4,1.54
谟,mo2,1.519
嬴,ying2,1.508
职,zhi2,1.495
垄,long3,1.488
锈,xiu4,1.475
擘,bo4,1.466
钫,fang1,1.463
邺,ye4,1.454
轼,shi4,1.452
枞,cong1,1.437
嫡,di2,1.434
诒,yi2,1.433
帜,zhi4,1.424
珽,ting3,1.42
矛,mao2,1.42
感,gan3,1.419
婀,e1,1.417
荠,qi2,1.413
胧,long2,1.406
彼,bi3,1.396
筹,chou2,1.387
砺,li4,1.375
楗,jian4,1.359
颗,ke1,1.357
熬,ao2,1.35
虫,chong2,1.348
绳,sheng2,1.344
陟,zhi4,1.334
汭,rui4,1.329
兼,jian1,1.318
蒿,hao1,1.309
妩,wu3,1.298
锬,tan2,1.29
砂,sha1,1.284
轰,hong1,1.281
塑,su4,1.276
顼,xu1,1.271
膑,bin4,1.268
琲,bei4,1.263
涪,fu2,1.259
矜,jin1,1.258
岿,kui1,1.247
潋,lian4,1.243
粹,cui4,1.242
预,yu4,1.241
抱,bao4,1.236
铣,xi3,1.232
嵋,mei2,1.232
部,bu4,1.217
跑,pao3,1.216
峄,yi4,1.21
滩,tan1,1.198
阑,lan2,1.194
赜,ze2,1.194
玳,dai4,1.188
嫌,xian2,1.178
壑,he4,1.176
恢,hui1,1.176
袭,xi2,1.162
档,dang4,1.161
阴,yin1,1.154
粼,lin2,1.153
悌,ti4,1.149
绫,ling2,1.109
峨,e2,1.107
铀,you2,1.101
刻,ke4,1.093
珵,cheng2,1.071
顷,qing3,1.047
帷,wei2,1.031
撼,han4,1.028
谛,di4,1.003
鲤,li3,0.998
崭,zhan3,0.99
渌,lu4,0.982
离,li2,0.968
钳,qian2,0.966
篮,lan2,0.963
皑,ai2,0.957
祜,hu4,0.954
锥,zhui1,0.944
趣,qu4,0.943
哗,hua2,0.939
物,wu4,0.935
牌,pai2,0.933
黠,xia2,0.923
囿,you4,0.91
读,du2,0.901
澧,li3,0.898
跞,luo4,0.884
监,jian1,0.882
尝,chang2,0.872
诞,dan4,0.864
甬,yong3,0.861
楸,qiu1,0.851
濂,lian2,0.846
滑,hua2,0.833
椋,liang2,0.832
综,zong1,0.829
烧,shao1,0.814
份,fen4,0.814
砥,di3,0.81
崖,ya2,0.806
眺,tiao4,0.805
吹,chui1,0.8
独,du2,0.798
盐,yan2,0.788
濯,zhuo2,0.788
笳,jia1,0.776
矫,jiao3,0.775
菩,pu2,0.772
稣,su1,0.77
郊,jiao1,0.769
鹦,ying1,0.766
廓,kuo4,0.765
骝,liu2,0.762
埕,cheng2,0.761
棂,ling2,0.758
仅,jin3,0.757
铛,dang1,0.753
兑,dui4,0.748
藐,miao3,0.745
棹,zhao4,0.739
蕖,qu2,0.738
揽,lan,0.737
虑,lu4,0.734
荩,jin4,0.731
宅,zhai2,0.731
诩,xu3,0.72
镡,tan2,0.715
蛰,zhe2,0.709
钩,gou1,0.707
侥,yao2,0.701
锣,luo2,0.699
枳,zhi3,0.695
橼,yuan2,0.692
沆,hang4,0.689
肆,si4,0.666
枰,ping2,0.665
莆,pu2,0.651
瓴,ling2,0.65
冒,mao4,0.642
钛,tai4,0.64
耒,lei3,0.637
儆,jing3,0.636
枨,cheng2,0.636
玑,ji1,0.631
贫,pin2,0.627
揆,kui2,0.626
敉,mi3,0.625
胄,zhou4,0.622
镰,lian2,0.609
液,ye4,0.608
属,shu3,0.604
谓,wei4,0.604
茳,jiang1,0.603
镶,xiang1,0.601
瀑,pu4,0.591
漱,shu4,0.585
岽,dong1,0.584
哿,ge3,0.583
磨,mo2,0.581
惕,ti4,0.577
鸢,yuan1,0.576
酒,jiu3,0.576
芗,xiang1,0.574
鼐,nai4,0.572
漭,mang3,0.571
酷,ku4,0.57
蓦,mo4,0.566
狂,kuang2,0.561
帧,zhen1,0.561
睫,jie2,0.557
莓,mei2,0.555
拔,ba2,0.548
制,zhi4,0.54
桄,guang4,0.53
酬,chou2,0.518
绛,jiang4,0.516
耔,zi3,0.496
亩,mu3,0.486
剡,yan3,0.485
彝,yi2,0.472
悍,han4,0.471
涉,she4,0.47
荒,huang1,0.467
屋,wu1,0.465
鸶,si1,0.461
攻,gong1,0.461
仉,zhang3,0.458
镧,lan2,0.458
杼,zhu4,0.454
膺,ying1,0.451
岍,qian1,0.451
晌,shang3,0.449
巢,chao2,0.44
樽,zun1,0.436
湍,tuan1,0.425
瞰,kan4,0.424
偿,chang2,0.424
凑,cou4,0.423
呤,ling4,0.416
每,mei3,0.414
笨,ben4,0.414
矩,ju3,0.413
邮,you2,0.411
璃,li2,0.41
萩,qiu1,0.409
镅,mei2,0.399
隶,li4,0.395
楝,lian4,0.386
綦,qi2,0.384
眸,mou2,0.381
脱,tuo1,0.378
佾,yi4,0.375
衷,zhong1,0.373
堇,jin3,0.37
楫,ji2,0.369
拳,quan2,0.367
兀,wu4,0.364
奭,shi4,0.356
箕,ji1,0.354
甯,ning4,0.349
榔,lang2,0.349
血,xue4,0.347
墀,chi2,0.343
赈,zhen4,0.342
示,shi4,0.342
徕,lai2,0.34
渼,mei3,0.338
洌,lie4,0.336
澹,dan4,0.336
婞,xing4,0.331
熏,xun1,0.33
哆,duo1,0.329
晕,yun1,0.329
蓟,ji4,0.322
谙,an1,0.32
苾,bie2,0.316
弩,nu3,0.312
迥,jiong3,0.31
杵,chu3,0.307
铕,you3,0.303
履,lv3,0.303
讴,ou1,0.301
柜,gui4,0.296
掀,xian1,0.278
迂,yu1,0.273
叨,dao1,0.272
庥,xiu1,0.265
隅,yu2,0.264
燧,sui4,0.262
迭,die2,0.262
坍,tan1,0.261
鏊,ao4,0.257
驻,zhu4,0.257
剧,ju4,0.255
遗,yi2,0.251
訾,zi3,0.25
钬,huo3,0.248
俚,li3,0.248
姘,pin1,0.245
鼓,gu3,0.244
祠,ci2,0.241
侍,shi4,0.238
浸,jin4,0.235
郯,tan2,0.235
徒,tu2,0.234
洱,er3,0.233
晾,liang4,0.233
莨,liang2,0.232
铳,chong4,0.228
价,jia4,0.227
镳,biao1,0.225
芑,qi3,0.223
罄,qing4,0.223
即,ji2,0.221
谯,qiao2,0.221
畹,wan3,0.219
瞩,zhu3,0.213
郇,xun2,0.212
懈,xie4,0.208
逑,qiu2,0.203
苘,qing3,0.203
订,ding4,0.2
纨,wan2,0.194
蘩,fan2,0.189
击,ji1,0.183
遴,lin2,0.183
旃,zhan1,0.181
俅,qiu2,0.18
烤,kao3,0.179
湿,shi1,0.177
椤,luo2,0.177
埙,xun1,0.176
佥,qian1,0.176
菅,jian1,0.175
镀,du4,0.168
俦,chou2,0.166
铢,zhu1,0.165
笺,jian1,0.157
籁,lai4,0.157
渚,zhu3,0.156
鋈,wu4,0.149
锗,zhe3,0.147
傥,tang3,0.142
粽,zong4,0.141
敷,fu1,0.139
暴,bao4,0.138
邝,kuang4,0.13
隗,wei3,0.129
乎,hu1,0.125
偈,ji4,0.119
堵,du3,0.116
炊,chui1,0.115
裁,cai2,0.111
钍,tu3,0.102
浑,hun2,0.1
咱,za2,0.1
爨,cuan4,0.1
工,kung1,0.1
拽,chuai4,0.1
粗,cu1,0.1
